"Haval F7, 2024","2.0 л (192 л.с.), бензин, робот, 4WD",3 099 000 ,Новосибирск,сегодня
"Haval F7, 2024","2.0 л (190 л.с.), бензин, робот, 4WD",3 349 000 ,Новосибирск,сегодня
"Haval Jolion, 2024","1.5 л (150 л.с.), бензин, робот, 4WD",2 649 000 ,Новосибирск,сегодня
"Haval Jolion, 2024","1.5 л (150 л.с.), бензин, робот, 4WD",2 799 000 ,Новосибирск,сегодня
"Haval M6, 2024","1.5 л (143 л.с.), бензин, механика, передний",2 179 000 ,Новосибирск,сегодня
"Haval Dargo, 2024","2.0 л (192 л.с.), бензин, робот, 4WD",3 249 000 ,Новосибирск,сегодня
"Haval F7, 2020","2.0 л (190 л.с.), бензин, робот, 4WD, 79 000 км",1 740 000 ,Новосибирск,сегодня
"Haval F7, 2023","1.5 л (150 л.с.), бензин, робот, 4WD, 11 000 км",2 450 000 ,Новосибирск,сегодня
"Changan CS35 Plus, 2020","1.6 л (128 л.с.), бензин, АКПП, передний, 49 000 км",1 699 000 ,Новосибирск,сегодня
"Haval Dargo, 2023","2.0 л (192 л.с.), бензин, робот, 4WD, 18 000 км",2 795 000 ,Новосибирск,сегодня
"Chery Tiggo 7 Pro, 2020","1.5 л (147 л.с.), бензин, вариатор, передний, 56 000 км",1 780 000 ,Новосибирск,сегодня
"SsangYong Actyon, 2013","2.0 л (149 л.с.), бензин, АКПП, передний, 100 500 км",995 000 ,Новосибирск,сегодня
"Nissan Qashqai, 2010","2.0 л (141 л.с.), бензин, вариатор, передний, 150 000 км",1 180 000 ,Новосибирск,сегодня
"Haval Jolion, 2024","1.5 л (150 л.с.), бензин, робот, 4WD, 11 000 км",2 395 000 ,Новосибирск,сегодня
"Haval Jolion, 2023","1.5 л (143 л.с.), бензин, робот, передний, 15 000 км",2 180 000 ,Новосибирск,сегодня
"Nissan Qashqai, 2018","2.0 л (144 л.с.), бензин, вариатор, 4WD, 103 000 км",1 945 000 ,Новосибирск,сегодня
"Haval F7x, 2023","2.0 л (190 л.с.), бензин, робот, 4WD, 29 000 км",2 695 000 ,Новосибирск,сегодня
"Chery Tiggo 7 Pro, 2022","1.5 л (147 л.с.), бензин, вариатор, передний, 47 000 км",1 799 000 ,Новосибирск,сегодня
"Toyota Highlander, 2002","3.0 л (220 л.с.), бензин, АКПП, 4WD, 230 000 км",950 000 ,Новосибирск,сегодня
"Renault Kaptur, 2021","1.3 л (149 л.с.), бензин, вариатор, 4WD, 88 823 км",1 650 000 ,Новосибирск,сегодня
"Suzuki Vitara, 2015","1.6 л (117 л.с.), бензин, АКПП, передний, 134 970 км",1 400 000 ,Новосибирск,сегодня
"Peugeot Partner Tepee, 2011","1.6 л (90 л.с.), бензин, механика, передний, 557 424 км",300 000 ,Новосибирск,сегодня
"Ford Mondeo, 2012","2.3 л (161 л.с.), бензин, АКПП, передний, 164 508 км",890 000 ,Новосибирск,сегодня
"Hyundai Tucson, 2008","2.0 л (142 л.с.), бензин, механика, передний, 196 000 км",630 000 ,Новосибирск,сегодня
"Opel Astra, 2013","1.6 л (115 л.с.), бензин, механика, передний, 201 916 км",630 000 ,Новосибирск,сегодня
"Opel Antara, 2013","2.2 л (184 л.с.), дизель, АКПП, 4WD, 139 000 км",930 000 ,Новосибирск,сегодня
"Mitsubishi Outlander, 2013","2.4 л (167 л.с.), бензин, вариатор, 4WD, 206 777 км",1 498 000 ,Новосибирск,сегодня
"Mazda Mazda6, 2008","2.0 л (147 л.с.), бензин, АКПП, передний, 275 100 км",700 000 ,Новосибирск,сегодня
"Nissan Qashqai, 2020","2.0 л (144 л.с.), бензин, вариатор, 4WD, 62 000 км",2 050 000 ,Новосибирск,сегодня
"Renault Sandero Stepway, 2015","1.6 л (82 л.с.), бензин, робот, передний, 112 812 км",890 000 ,Новосибирск,сегодня
"Geely Cityray, 2024","1.5 л (147 л.с.), бензин, робот, передний",3 094 190 ,Новосибирск,сегодня
"Geely Tugella, 2024","2.0 л (200 л.с.), бензин, АКПП, 4WD",3 547 500 ,Новосибирск,сегодня
"Tank 700, 2024","3.0 л (354 л.с.), гибрид, АКПП, 4WD",9 499 000 ,Новосибирск,сегодня
"Tank 700, 2024","3.0 л (354 л.с.), гибрид, АКПП, 4WD",10 199 000 ,Новосибирск,сегодня
"Tank 500, 2024","2.0 л (245 л.с.), гибрид, АКПП, 4WD",6 799 000 ,Новосибирск,сегодня
"Tank 500, 2024","2.0 л (245 л.с.), гибрид, АКПП, 4WD",6 799 000 ,Новосибирск,сегодня
