FAW Bestune T99,2024,"2.0 л (218 л.с.), бензин, АКПП, передний",3 150 000 ,Новосибирск,сегодня
Chery Tiggo 8 Pro Max,2024,"1.6 л (186 л.с.), бензин, робот, передний",3 089 000 ,Новосибирск,сегодня
Chery Tiggo 4,2024,"1.5 л (147 л.с.), бензин, робот, передний",2 450 000 ,Новосибирск,сегодня
Chery Tiggo 7 Pro Max,2024,"1.6 л (150 л.с.), бензин, робот, 4WD",2 791 456 ,Новосибирск,сегодня
Toyota RAV4,2010,"2.0 л (158 л.с.), бензин, вариатор, 4WD, 204 000 км",1 300 000 ,Новосибирск,сегодня
Honda Accord,2011,"2.4 л (200 л.с.), бензин, АКПП, передний, 170 000 км",1 850 000 ,Новосибирск,сегодня
Chery Tiggo 9,2024,"2.0 л (249 л.с.), бензин, АКПП, 4WD",5 120 000 ,Новосибирск,сегодня
Chery Tiggo 8 Pro Max,2024,"1.6 л (186 л.с.), бензин, робот, передний",3 620 000 ,Новосибирск,сегодня
Chery Tiggo 4,2024,"1.5 л (147 л.с.), бензин, робот, передний",2 180 000 ,Новосибирск,сегодня
Chery Tiggo 4,2024,"1.5 л (147 л.с.), бензин, робот, передний",2 380 000 ,Новосибирск,сегодня
Jaecoo J8,2024,"2.0 л (249 л.с.), бензин, робот, 4WD",4 799 000 ,Новосибирск,сегодня
Geely Preface,2024,"2.0 л (200 л.с.), бензин, робот, передний",3 517 190 ,Новосибирск,сегодня
Jaecoo J8,2024,"2.0 л (249 л.с.), бензин, робот, 4WD",4 799 000 ,Новосибирск,сегодня
Geely Okavango,2024,"2.0 л (200 л.с.), бензин, робот, передний",3 642 990 ,Новосибирск,сегодня
Jaecoo J8,2024,"2.0 л (249 л.с.), бензин, робот, 4WD",4 449 000 ,Новосибирск,сегодня
Jaecoo J7,2024,"1.6 л (186 л.с.), бензин, робот, 4WD",3 709 900 ,Новосибирск,сегодня
Jaecoo J7,2024,"1.6 л (150 л.с.), бензин, робот, передний",2 250 000 ,Новосибирск,сегодня
Geely Tugella,2024,"2.0 л (200 л.с.), бензин, АКПП, 4WD",3 547 500 ,Новосибирск,сегодня
Haval F7,2024,"2.0 л (192 л.с.), бензин, робот, 4WD",3 299 000 ,Новосибирск,сегодня
Haval F7,2024,"1.5 л (150 л.с.), бензин, робот, передний",2 699 000 ,Новосибирск,сегодня
Jaecoo J7,2024,"1.6 л (150 л.с.), бензин, робот, передний",2 100 000 ,Новосибирск,сегодня
Haval F7,2024,"2.0 л (190 л.с.), бензин, робот, 4WD",3 349 000 ,Новосибирск,сегодня
Geely Coolray,2024,"1.5 л (147 л.с.), бензин, робот, передний",2 989 190 ,Новосибирск,сегодня
Toyota Corolla,1998,"1.5 л (100 л.с.), бензин, АКПП, передний, 412 000 км",325 000 ,Искитим (≈ 60 км),сегодня
Geely Preface,2024,"2.0 л (200 л.с.), бензин, робот, передний",3 355 000 ,Новосибирск,сегодня
Haval M6,2024,"1.5 л (143 л.с.), бензин, механика, передний",1 844 000 ,Новосибирск,сегодня
Geely Tugella,2024,"2.0 л (238 л.с.), бензин, АКПП, 4WD",4 299 000 ,Новосибирск,сегодня
Geely Okavango,2024,"2.0 л (200 л.с.), бензин, робот, передний",3 500 000 ,Новосибирск,сегодня
Geely Monjaro,2024,"2.0 л (238 л.с.), бензин, АКПП, 4WD",4 490 000 ,Новосибирск,сегодня
Geely Coolray,2024,"1.5 л (147 л.с.), бензин, робот, передний",2 500 000 ,Новосибирск,сегодня
Geely Atlas,2024,"2.0 л (200 л.с.), бензин, АКПП, 4WD",3 724 000 ,Новосибирск,сегодня
