"Nissan Qashqai, 2010","2.0 л (141 л.с.), бензин, вариатор, передний, 116 339 км",1 300 000 ,Новосибирск,сегодня
"Honda Fit Shuttle, 2012","1.3 л (88 л.с.), гибрид, вариатор, передний, 170 732 км",1 230 000 ,Новосибирск,сегодня
"Hyundai Tucson, 2008","2.0 л (140 л.с.), бензин, автомат, 4WD, 212 000 км",1 155 000 ,Новосибирск,сегодня
"Hyundai Santa Fe Classic, 2008","2.7 л (173 л.с.), бензин, АКПП, 4WD, 123 000 км",1 225 000 ,Новосибирск,сегодня
"Oting Paladin, 2024","2.0 л (218 л.с.), бензин, АКПП, 4WD",3 599 000 ,Новосибирск,сегодня
"Oting Paladin, 2024","2.0 л (218 л.с.), бензин, АКПП, задний",3 599 000 ,Новосибирск,сегодня
"Oting Paladin, 2024","2.0 л (218 л.с.), бензин, АКПП, задний",3 599 000 ,Новосибирск,сегодня
"Oting Paladin, 2024","2.0 л (218 л.с.), бензин, АКПП, 4WD",3 599 000 ,Новосибирск,сегодня
"Toyota Land Cruiser Prado, 2006","4.0 л (249 л.с.), бензин, АКПП, 4WD, 210 000 км",2 950 000 ,Бердск (≈ 40 км),сегодня
"Geely Monjaro, 2024","2.0 л (238 л.с.), бензин, АКПП, 4WD, 1 200 км",3 450 000 ,Новосибирск,сегодня
"Nissan Note, 2017","1.2 л (79 л.с.), гибрид, АКПП, передний, 125 000 км",1 430 000 ,Новосибирск,сегодня
"Toyota Land Cruiser, 2019","4.6 л (309 л.с.), бензин, АКПП, 4WD, 185 000 км",9 250 000 ,Новосибирск,сегодня
"Chery Tiggo 7 Pro Max, 2024","1.6 л (150 л.с.), бензин, робот, передний",2 980 000 ,Новосибирск,сегодня
"Chery Tiggo 8 Pro Max, 2024","2.0 л (197 л.с.), бензин, робот, 4WD",4 070 000 ,Новосибирск,сегодня
"JAC T9, 2024","2.0 л (224 л.с.), бензин, АКПП, 4WD",3 599 000 ,Новосибирск,сегодня
"Chery Tiggo 4, 2024","1.5 л (147 л.с.), бензин, робот, передний",2 180 000 ,Новосибирск,сегодня
"JAC JS3, 2024","1.6 л (109 л.с.), бензин, механика, передний",1 450 000 ,Новосибирск,сегодня
"Mitsubishi L200, 2024","2.4 л (184 л.с.), дизель, АКПП, 4WD",5 500 000 ,Новосибирск,сегодня
"Lexus IS250, 2007","2.5 л (208 л.с.), бензин, АКПП, задний, 47 700 км",1 300 000 ,Новосибирск,сегодня
"Nissan Expert, 2002","1.8 л (125 л.с.), бензин, АКПП, передний, 458 000 км",335 000 ,Новосибирск,сегодня
"JAC T9, 2024","2.0 л (224 л.с.), бензин, АКПП, 4WD",3 399 000 ,Новосибирск,сегодня
"JAC T8, 2024","2.0 л (177 л.с.), бензин, механика, 4WD",2 600 000 ,Новосибирск,сегодня
"JAC JS3, 2024","1.6 л (109 л.с.), бензин, вариатор, передний",1 499 000 ,Новосибирск,сегодня
"JAC J7, 2023","1.5 л (136 л.с.), бензин, вариатор, передний",1 630 000 ,Новосибирск,сегодня
"Porsche Cayenne Coupe, 2024","3.0 л (353 л.с.), бензин, АКПП, 4WD",25 750 000 ,Новосибирск,сегодня
"Audi A4, 2021","2.0 л (190 л.с.), бензин, робот, передний, 86 000 км",3 350 000 ,Новосибирск,сегодня
"Chery Tiggo 4, 2024","1.5 л (147 л.с.), бензин, робот, передний",2 450 000 ,Новосибирск,сегодня
"Chery Tiggo 7 Pro Max, 2024","1.6 л (150 л.с.), бензин, робот, передний",2 730 000 ,Новосибирск,сегодня
"Chery Arrizo 8, 2024","1.6 л (150 л.с.), бензин, робот, передний",2 860 000 ,Новосибирск,сегодня
"Toyota Vista, 1991","2.0 л (135 л.с.), бензин, механика, 4WD, 325 000 км",205 000 ,Новосибирск,сегодня
"Jetour X90 Plus, 2023","1.6 л (190 л.с.), бензин, робот, передний",3 519 900 ,Новосибирск,сегодня
"Jetour Dashing, 2024","1.6 л (190 л.с.), бензин, робот, передний",2 990 000 ,Новосибирск,сегодня
"Jetour Dashing, 2024","1.5 л (147 л.с.), бензин, механика, передний",2 330 000 ,Новосибирск,сегодня
"Jetour Dashing, 2024","1.5 л (147 л.с.), бензин, робот, передний",2 150 000 ,Новосибирск,сегодня
"Jetour Dashing, 2024","1.5 л (147 л.с.), бензин, механика, передний",2 330 000 ,Новосибирск,сегодня
"Tank 700, 2024","3.0 л (354 л.с.), гибрид, АКПП, 4WD",10 199 000 ,Новосибирск,сегодня
"Tank 700, 2024","3.0 л (354 л.с.), гибрид, АКПП, 4WD",12 499 000 ,Новосибирск,сегодня
"Tank 500, 2024","3.0 л (299 л.с.), гибрид, АКПП, 4WD",7 649 000 ,Новосибирск,сегодня
"Tank 500, 2024","3.0 л (354 л.с.), гибрид, АКПП, 4WD",8 249 000 ,Новосибирск,сегодня
"Tank 500, 2024","3.0 л (299 л.с.), гибрид, АКПП, 4WD",7 049 000 ,Новосибирск,сегодня
